script,start_time,end_time,duration_s,exit_code
build,2025-10-05T02:50:53-07:00,2025-10-05T02:50:53-07:00,0,0
build:chrome,2025-10-05T02:51:03-07:00,2025-10-05T02:51:04-07:00,1,0
build:edge,2025-10-05T02:51:14-07:00,2025-10-05T02:51:14-07:00,0,0
build:firefox,2025-10-05T02:51:24-07:00,2025-10-05T02:51:24-07:00,0,0
build:all,2025-10-05T02:51:34-07:00,2025-10-05T02:51:35-07:00,1,0
package,2025-10-05T02:51:45-07:00,2025-10-05T02:51:45-07:00,0,0
installers,2025-10-05T02:51:55-07:00,2025-10-05T02:51:56-07:00,1,0
native-installers,2025-10-05T02:52:06-07:00,2025-10-05T02:52:06-07:00,0,0
package:installers,2025-10-05T02:52:16-07:00,2025-10-05T02:52:16-07:00,0,0
build:installers,2025-10-05T02:52:26-07:00,2025-10-05T02:52:27-07:00,1,0
build:native-installers,2025-10-05T02:52:37-07:00,2025-10-05T02:52:38-07:00,1,0
build:all:installers,2025-10-05T02:52:48-07:00,2025-10-05T02:52:49-07:00,1,0
release,2025-10-05T02:52:59-07:00,2025-10-05T02:53:01-07:00,2,0
release:patch,2025-10-05T02:53:12-07:00,2025-10-05T02:53:14-07:00,3,0
release:minor,2025-10-05T02:53:24-07:00,2025-10-05T02:53:27-07:00,3,0
release:major,2025-10-05T02:53:37-07:00,2025-10-05T02:53:40-07:00,3,0
release:pre,2025-10-05T02:53:50-07:00,2025-10-05T02:53:53-07:00,3,0
enhance-packages,2025-10-05T02:54:03-07:00,2025-10-05T02:54:03-07:00,0,0
clean:releases,2025-10-05T02:54:13-07:00,2025-10-05T02:54:13-07:00,0,0
clean:dist,2025-10-05T02:54:23-07:00,2025-10-05T02:54:23-07:00,0,0
clean,2025-10-05T02:54:33-07:00,2025-10-05T02:54:33-07:00,0,0
clean:all,2025-10-05T02:54:43-07:00,2025-10-05T02:54:43-07:00,0,0
test,2025-10-05T02:54:53-07:00,2025-10-05T02:54:53-07:00,0,127
test:watch,2025-10-05T02:55:03-07:00,2025-10-05T02:55:03-07:00,0,SKIPPED
lint,2025-10-05T02:55:13-07:00,2025-10-05T02:55:14-07:00,1,0
icons,2025-10-05T02:55:24-07:00,2025-10-05T02:55:24-07:00,0,0
dev,2025-10-05T02:55:34-07:00,2025-10-05T02:55:34-07:00,0,0
